sl_buffer_mult,eval_dt,code,direction,entry,tp,sl,exit,result,pnl_pct,rr_real,mfe_pct,mae_pct,d1_ohlc_pct,d2_ohlc_pct,d3_ohlc_pct,d4_ohlc_pct,d5_ohlc_pct,cumulative_ohlc,ma_divergence,trend_aligned,swing_rank
1.0,2025-12-02,8725,売り,3530.0,3261.6,3600.9,3600.9,loss,-2.01,-1.0,1.64,2.61,2.125,-0.68,0.708,-2.465,-5.326,-5.637,-2.64,True,1
1.0,2025-12-02,6098,売り,7892.0,7650.6,8145.3,8145.3,loss,-3.21,-1.0,0.62,4.09,-7.413,-16.814,-13.621,-9.592,-8.502,-55.943,-3.874,True,2
1.0,2025-12-02,7267,売り,1510.0,1500.4,1543.2,1543.2,loss,-2.2,-1.0,0.53,2.78,0.43,-5.298,-1.821,-2.682,-2.649,-12.02,-2.859,True,3
1.0,2025-12-02,8766,売り,5500.0,5298.0,5633.4,5633.4,loss,-2.43,-1.0,1.04,2.8,1.036,-3.891,-1.273,-3.109,-4.418,-11.655,-6.333,True,4
1.0,2025-12-02,8316,売り,4869.0,4096.1,4982.3,4849.0,forced_win,0.41,0.18,1.56,1.99,2.136,0.185,-3.738,-2.033,-0.205,-3.656,3.802,False,5
1.0,2025-12-02,2914,売り,5850.0,4384.9,5947.2,5790.0,forced_win,1.03,0.62,2.44,0.34,0.957,4.444,5.521,5.043,3.59,19.556,9.185,False,6
1.0,2025-12-03,8725,売り,3484.0,3261.6,3555.2,3555.2,loss,-2.04,-1.0,0.23,2.67,-4.65,-3.243,-6.458,-9.357,-7.147,-30.855,-2.356,True,1
1.0,2025-12-03,7267,売り,1514.5,1417.1,1547.1,1547.1,loss,-2.15,-1.0,0.26,2.48,-4.391,-0.924,-1.783,-1.75,-13.503,-22.351,-2.95,True,2
1.0,2025-12-03,6098,売り,8053.0,7650.6,8304.1,8304.1,loss,-3.12,-1.0,0.04,5.94,-10.481,-7.351,-3.402,-2.335,-0.857,-24.426,-3.778,True,3
1.0,2025-12-03,8766,売り,5500.0,5298.0,5628.9,5628.9,loss,-2.34,-1.0,0.67,2.8,-3.891,-1.273,-3.109,-4.418,-3.455,-16.145,-6.457,True,4
1.0,2025-12-03,8411,売り,5563.0,4800.3,5699.5,5635.0,forced_loss,-1.29,-0.53,0.49,2.44,-3.146,-3.793,-4.8,-5.375,-2.984,-20.097,4.908,False,5
1.0,2025-12-03,2914,売り,5753.0,4394.2,5850.9,5818.0,forced_loss,-1.13,-0.66,0.8,1.15,-0.539,0.556,0.07,-1.408,-2.712,-4.033,9.616,False,6
1.0,2025-12-04,8725,売り,3520.0,3261.6,3591.0,3591.0,loss,-2.02,-1.0,0.37,2.9,-0.142,-3.324,-6.193,-4.006,-7.358,-21.023,-2.126,True,1
1.0,2025-12-04,7267,売り,1519.5,1417.1,1550.9,1550.9,loss,-2.07,-1.0,0.76,5.59,0.066,-0.79,-0.757,-12.471,-10.661,-24.613,-3.125,True,2
1.0,2025-12-04,8766,売り,5520.0,5298.0,5645.3,5645.3,loss,-2.27,-1.0,1.03,2.43,-0.181,-2.011,-3.315,-2.355,-4.185,-12.047,-6.599,True,3
1.0,2025-12-04,6861,売り,55070.0,51575.4,56196.6,54670.0,forced_win,0.73,0.36,2.22,1.92,3.178,2.215,4.975,-2.088,-0.327,7.954,-2.428,True,4
1.0,2025-12-04,8316,売り,4905.0,4079.6,5020.6,4841.0,forced_win,1.3,0.55,1.71,1.24,-1.509,0.183,1.998,3.201,2.324,6.198,4.753,False,5
1.0,2025-12-05,7267,売り,1530.0,1500.4,1562.6,1562.6,loss,-2.13,-1.0,1.18,4.87,1.275,1.307,-10.327,-8.529,-12.614,-28.889,-3.186,True,1
1.0,2025-12-05,6098,売り,8158.0,7956.0,8435.7,8312.0,forced_loss,-1.89,-0.55,2.12,2.48,0.503,1.557,3.015,-0.282,-3.984,0.809,-3.065,True,2
1.0,2025-12-05,8766,売り,5485.0,5534.3,5611.0,5534.3,win,-0.9,-0.39,0.4,2.17,-3.938,-5.251,-4.284,-6.126,-13.418,-33.017,-6.63,True,3
1.0,2025-12-05,4568,売り,3452.0,3495.3,3575.0,3495.3,win,-1.25,-0.35,1.04,0.38,1.333,-1.912,2.26,5.649,7.561,14.89,-2.521,True,4
1.0,2025-12-05,8316,売り,4904.0,4079.6,5019.4,4973.0,forced_loss,-1.41,-0.6,1.69,1.9,0.122,1.937,3.14,2.263,-3.324,4.139,5.227,False,5
1.0,2025-12-08,8766,売り,5654.0,5298.0,5779.4,5779.4,loss,-2.22,-1.0,2.46,2.39,3.873,4.811,3.024,-4.05,-8.949,-1.291,-6.561,True,1
1.0,2025-12-08,9432,売り,154.3,150.0,156.2,156.2,loss,-1.24,-1.0,0.78,1.3,1.037,-2.268,-2.203,-1.944,-2.463,-7.842,-2.028,True,2
1.0,2025-12-08,6098,売り,8167.0,7956.0,8445.1,8445.1,loss,-3.41,-1.0,2.23,5.77,1.886,3.343,0.049,-3.649,-12.71,-11.081,-2.623,True,3
1.0,2025-12-08,6861,売り,54280.0,53173.1,55623.8,55623.8,loss,-2.48,-1.0,0.79,3.1,0.682,-6.485,-4.698,-9.285,-11.588,-31.374,-3.321,True,4
1.0,2025-12-08,7267,売り,1527.0,1500.4,1560.1,1560.1,loss,-2.17,-1.0,0.65,5.08,0.72,-10.936,-9.136,-13.229,-15.488,-48.068,-3.251,True,5
1.0,2025-12-08,6954,売り,5857.0,4335.4,6069.7,6069.7,loss,-3.63,-1.0,0.12,5.24,-10.364,-14.786,-10.33,-20.13,-13.949,-69.558,10.159,False,6
1.0,2025-12-08,6506,売り,4799.0,3079.6,4977.0,4977.0,loss,-3.71,-1.0,0.13,5.79,-10.544,-18.421,-9.481,-15.732,-9.044,-63.222,12.478,False,7
1.0,2025-12-08,8316,売り,4918.0,4097.7,5031.7,5031.7,loss,-2.31,-1.0,1.97,3.84,2.786,3.985,3.111,-2.46,-8.845,-1.423,5.825,False,8
1.0,2025-12-09,6758,買い,4326.0,4563.4,4208.6,4208.6,loss,-2.71,-1.0,0.53,3.58,-6.38,-13.615,-11.165,-11.882,-14.817,-57.859,2.731,True,1
1.0,2025-12-09,6701,買い,5670.0,6106.0,5488.0,5488.0,loss,-3.21,-1.0,0.14,3.49,-5.009,-8.448,-7.249,-10.212,-14.444,-45.362,14.058,True,2
1.0,2025-12-09,6702,買い,4165.0,4216.0,4065.5,4065.5,loss,-2.39,-1.0,0.34,2.98,-3.313,-6.531,1.753,3.986,2.737,-1.369,7.153,True,3
1.0,2025-12-09,7203,買い,3089.0,3202.8,3023.2,3202.8,win,3.68,1.73,5.92,0.42,2.007,3.302,14.017,22.111,25.445,66.882,3.341,True,4
1.0,2025-12-09,6762,買い,2400.0,2608.9,2320.7,2320.7,loss,-3.3,-1.0,1.77,5.31,-1.833,-10.292,-9.917,-19.5,-22.812,-64.354,10.244,True,5
1.0,2025-12-09,9501,買い,648.0,761.4,600.4,636.9,forced_loss,-1.71,-0.23,4.38,4.2,-2.809,-7.222,2.623,4.861,-1.25,-3.796,5.31,True,6
1.0,2025-12-09,4506,買い,2403.0,2727.4,2254.7,2254.7,loss,-6.17,-1.0,3.35,8.51,5.576,-5.66,-17.395,-14.357,-12.422,-44.257,24.877,True,7
1.0,2025-12-09,9983,買い,55950.0,58378.7,54561.1,56570.0,forced_win,1.11,0.45,2.88,1.0,0.411,-0.286,3.968,5.827,3.807,13.727,9.378,True,8
1.0,2025-12-09,5706,買い,19000.0,21194.4,17840.0,17840.0,loss,-6.11,-1.0,1.84,7.76,-4.842,-17.579,-14.816,-25.0,-35.553,-97.789,28.816,True,9
1.0,2025-12-09,7003,買い,6190.0,6859.1,5840.8,5840.8,loss,-5.64,-1.0,0.24,7.11,-13.974,-22.811,-18.094,-25.444,-38.061,-118.384,20.762,True,10
1.0,2025-12-10,6762,買い,2399.5,2530.4,2321.3,2321.3,loss,-3.26,-1.0,0.25,5.29,-10.231,-9.856,-19.442,-22.755,-23.317,-85.601,9.457,True,1
1.0,2025-12-10,6701,買い,5560.0,5927.1,5382.3,5382.3,loss,-3.2,-1.0,0.41,3.94,-2.68,-1.457,-4.478,-8.795,-3.813,-21.223,13.77,True,2
1.0,2025-12-10,6758,買い,4174.0,4563.4,4059.0,4059.0,loss,-2.76,-1.0,0.96,4.72,-3.186,-0.647,-1.39,-4.432,-10.685,-20.34,2.663,True,3
1.0,2025-12-10,7203,買い,3148.0,3202.8,3084.1,3202.8,win,1.74,0.86,3.94,1.56,-2.382,8.132,16.074,19.346,18.202,59.371,3.18,True,4
1.0,2025-12-10,9983,買い,56470.0,58378.7,55118.9,56710.0,forced_win,0.43,0.18,1.93,1.91,-3.046,1.169,3.01,1.009,1.859,4.002,9.119,True,5
1.0,2025-12-10,4506,買い,2445.0,2727.4,2296.4,2296.4,loss,-6.08,-1.0,0.59,10.08,-10.716,-22.249,-19.264,-17.362,-22.945,-92.536,25.515,True,6
1.0,2025-12-10,6702,買い,4101.0,4305.5,4003.0,4202.0,forced_win,2.46,1.03,3.54,1.46,-1.951,6.462,8.73,7.462,7.559,28.261,7.03,True,7
1.0,2025-12-10,7269,買い,2308.5,2422.8,2249.6,2249.6,loss,-2.55,-1.0,0.35,3.83,-2.274,-3.595,0.996,2.924,2.253,0.303,5.221,True,8
1.0,2025-12-10,7003,買い,5735.0,6859.1,5396.0,5396.0,loss,-5.91,-1.0,3.05,8.09,-0.82,4.272,-3.662,-17.28,-24.725,-42.214,20.017,True,9
1.0,2025-12-10,6857,買い,20250.0,22197.9,19223.2,19223.2,loss,-5.07,-1.0,4.86,5.53,8.173,8.395,-9.457,-13.259,-12.691,-18.84,20.406,True,10
1.0,2025-12-11,6762,買い,2310.0,2530.4,2230.9,2230.9,loss,-3.42,-1.0,1.73,4.03,1.385,-8.571,-12.013,-12.597,-14.545,-46.342,8.769,True,1
1.0,2025-12-11,6701,買い,5500.0,5927.1,5320.3,5320.3,loss,-3.27,-1.0,1.47,3.71,1.8,-1.255,-5.618,-0.582,-9.018,-14.673,13.478,True,2
1.0,2025-12-11,7269,買い,2242.5,2422.8,2184.2,2332.5,forced_win,4.01,1.54,5.55,1.0,5.128,9.855,11.839,11.148,11.059,49.03,5.153,True,3
1.0,2025-12-11,6758,買い,4100.0,4378.8,3980.5,3980.5,loss,-2.91,-1.0,2.78,3.0,4.756,4.0,0.902,-5.463,-4.122,0.073,2.541,True,4
1.0,2025-12-11,4506,買い,2318.0,2727.4,2173.7,2279.0,forced_loss,-1.68,-0.27,3.15,5.16,-7.032,-3.883,-1.877,-7.765,-7.463,-28.02,25.362,True,5
1.0,2025-12-11,6702,買い,4159.0,4305.5,4060.7,4202.0,forced_win,1.03,0.44,2.09,0.65,2.188,4.424,3.174,3.27,2.428,15.484,7.02,True,6
1.0,2025-12-11,5706,買い,18300.0,21194.4,17152.0,17152.0,loss,-6.27,-1.0,0.27,6.34,-3.907,-14.481,-25.437,-21.858,-18.033,-83.716,27.837,True,7
1.0,2025-12-11,9983,買い,56000.0,58378.7,54678.3,56390.0,forced_win,0.7,0.3,2.79,1.09,3.696,5.554,3.536,4.393,2.375,19.554,9.0,True,8
1.0,2025-12-11,9501,買い,636.3,761.4,590.4,642.1,forced_win,0.91,0.13,6.3,3.5,8.188,10.467,4.243,-4.793,1.21,19.315,4.338,True,9
1.0,2025-12-11,6857,買い,20980.0,22197.9,19963.7,19963.7,loss,-4.84,-1.0,1.22,7.46,-2.336,-19.566,-23.236,-22.688,-32.007,-99.833,19.123,True,10
1.0,2025-12-12,7003,買い,5648.0,6278.4,5306.5,5306.5,loss,-6.05,-1.0,1.31,6.67,0.903,-12.925,-20.485,-24.646,-19.511,-76.664,18.661,True,1
1.0,2025-12-12,8306,買い,2513.0,2552.2,2460.1,2552.2,win,1.56,0.74,1.79,0.02,3.561,-0.358,-7.819,-9.073,-8.038,-21.727,3.574,True,2
1.0,2025-12-12,6701,買い,5426.0,5927.1,5250.3,5436.0,forced_win,0.18,0.06,2.58,2.4,2.82,-1.603,3.502,-5.05,-0.203,-0.534,13.075,True,3
1.0,2025-12-12,8035,買い,30800.0,35016.6,29585.5,31200.0,forced_win,1.3,0.33,2.21,2.4,2.857,2.013,3.052,-4.318,2.825,6.429,14.347,True,4
1.0,2025-12-12,7269,買い,2282.0,2422.8,2225.0,2332.5,forced_win,2.21,0.89,3.72,0.0,4.492,6.442,5.762,5.675,6.223,28.593,5.135,True,5
1.0,2025-12-12,6758,買い,4142.0,4286.6,4024.7,4024.7,loss,-2.83,-1.0,1.5,3.98,0.917,-2.149,-8.45,-7.122,-9.947,-26.75,2.406,True,6
1.0,2025-12-12,6702,買い,4178.0,4216.0,4080.9,4216.0,win,0.91,0.39,1.63,0.17,3.04,1.795,1.891,1.053,8.114,15.893,7.031,True,7
1.0,2025-12-12,6501,買い,4900.0,5103.9,4752.4,4911.0,forced_win,0.22,0.07,1.47,2.53,0.122,-1.449,1.408,-4.612,0.816,-3.714,10.195,True,8
1.0,2025-12-12,2914,買い,5800.0,5864.6,5712.3,5774.0,forced_loss,-0.45,-0.3,0.88,0.74,1.5,1.5,0.379,-1.155,-0.207,2.017,11.177,True,9
1.0,2025-12-12,9983,買い,56440.0,58378.7,55117.0,56350.0,forced_loss,-0.16,-0.07,1.84,0.82,3.172,1.169,2.02,0.018,-0.035,6.343,8.767,True,10
1.0,2025-12-15,4506,買い,2340.0,2498.8,2194.0,2283.5,forced_loss,-2.41,-0.39,2.18,5.68,-4.679,-10.513,-10.214,-7.778,-6.239,-39.423,24.214,True,1
1.0,2025-12-15,6701,買い,5381.0,5927.1,5211.2,5392.0,forced_win,0.2,0.06,3.44,1.58,0.892,6.04,-2.583,2.304,1.245,7.898,12.758,True,2
1.0,2025-12-15,6758,買い,4203.0,4378.8,4085.9,4085.9,loss,-2.79,-1.0,0.02,3.35,-6.472,-12.681,-11.373,-14.157,-16.155,-60.837,2.262,True,3
1.0,2025-12-15,6762,買い,2205.0,2530.4,2122.4,2230.0,forced_win,1.13,0.3,1.97,2.45,1.701,1.088,-0.952,0.272,3.084,5.193,7.477,True,4
1.0,2025-12-15,7269,買い,2335.0,2422.8,2275.2,2355.5,forced_win,0.88,0.34,1.88,1.48,-0.514,-1.178,-1.263,-0.728,2.548,-1.135,5.252,True,5
1.0,2025-12-15,5802,買い,6350.0,7623.5,6028.5,6761.0,forced_win,6.47,1.28,6.52,4.99,-2.882,-2.724,-11.071,-3.165,15.496,-4.346,24.577,True,6
1.0,2025-12-15,8306,買い,2572.5,2660.4,2518.7,2518.7,loss,-2.09,-1.0,0.14,3.71,-7.289,-14.577,-15.802,-14.791,-8.688,-61.147,3.74,True,7
1.0,2025-12-15,5801,買い,9286.0,11041.4,8765.8,9770.0,forced_win,5.21,0.93,5.21,4.79,-5.438,-4.717,-8.4,-2.574,12.912,-8.217,3.152,True,8
1.0,2025-12-15,9433,買い,2702.0,2759.3,2662.2,2694.0,forced_loss,-0.3,-0.2,1.22,0.78,1.295,0.37,0.574,1.776,-0.259,3.756,5.633,True,9
1.0,2025-12-15,7013,買い,2906.0,3126.0,2795.0,2795.0,loss,-3.82,-1.0,1.2,6.69,-1.961,-6.951,-15.554,-11.734,-10.065,-46.266,6.224,True,10
1.0,2025-12-16,8035,買い,31200.0,33139.9,30008.5,33139.9,win,6.22,1.63,7.18,3.65,-0.833,-8.109,-1.058,17.564,17.724,25.288,12.69,True,1
1.0,2025-12-16,6701,買い,5509.0,5748.1,5343.8,5343.8,loss,-3.0,-1.0,1.03,3.87,-1.071,-9.494,-4.72,-5.754,-5.427,-26.466,12.499,True,2
1.0,2025-12-16,5802,買い,6311.0,7112.8,5999.7,6608.0,forced_win,4.71,0.95,7.18,4.41,-0.887,-9.285,-1.331,17.446,14.087,20.029,24.355,True,3
1.0,2025-12-16,4506,買い,2215.5,2727.4,2069.3,2310.5,forced_win,4.29,0.65,6.25,0.38,5.755,6.071,8.644,10.269,13.451,44.189,23.853,True,4
1.0,2025-12-16,6758,買い,4019.0,4378.8,3904.9,4069.0,forced_win,1.24,0.44,1.67,1.72,0.473,1.841,-1.07,-3.16,2.438,0.523,2.162,True,5
1.0,2025-12-16,7013,買い,2890.5,3126.0,2778.6,2778.6,loss,-3.87,-1.0,0.05,6.19,-5.38,-14.029,-10.189,-8.511,-7.386,-45.494,5.687,True,6
1.0,2025-12-16,9983,買い,57100.0,59328.0,55741.0,56990.0,forced_loss,-0.19,-0.08,1.12,1.96,-1.471,-3.45,-3.503,1.156,-0.175,-7.443,8.323,True,7
1.0,2025-12-16,6501,買い,4859.0,5385.6,4707.5,5011.0,forced_win,3.13,1.0,4.53,1.71,3.951,-2.12,3.355,10.414,9.076,24.676,9.28,True,8
1.0,2025-12-16,7741,買い,23620.0,25245.1,23040.3,23940.0,forced_win,1.35,0.55,2.92,1.12,0.656,-0.423,4.064,5.377,4.784,14.458,5.971,True,9
1.0,2025-12-16,8058,買い,3601.0,3999.4,3527.9,3568.0,forced_loss,-0.92,-0.45,1.58,1.42,-0.916,0.611,1.055,1.805,-1.694,0.861,3.172,True,10
1.0,2025-12-17,6981,買い,3120.0,3399.6,3024.3,3164.0,forced_win,1.41,0.46,4.68,0.03,3.59,6.538,9.808,7.404,4.84,32.179,9.513,True,1
1.0,2025-12-17,6701,買い,5308.0,5748.1,5143.8,5400.0,forced_win,1.73,0.56,3.24,0.23,1.507,6.462,5.388,5.727,6.33,25.414,12.107,True,2
1.0,2025-12-17,4506,買い,2218.0,2498.8,2072.4,2329.0,forced_win,5.0,0.76,6.24,0.32,5.726,8.296,9.919,13.097,14.518,51.555,23.778,True,3
1.0,2025-12-17,6857,買い,18480.0,21264.7,17482.0,20160.0,forced_win,9.09,1.68,9.66,0.11,4.248,11.201,23.539,21.077,26.055,86.12,15.309,True,4
1.0,2025-12-17,8035,買い,30220.0,33139.9,29052.9,33139.9,win,9.66,2.5,10.66,0.53,1.357,8.637,27.862,28.028,30.874,96.757,11.685,True,5
1.0,2025-12-17,4519,買い,8101.0,8719.9,7873.4,8266.0,forced_win,2.04,0.72,4.58,0.01,3.691,7.308,6.863,8.9,8.653,35.415,12.868,True,6
1.0,2025-12-17,6501,買い,4819.0,5103.9,4671.5,4988.0,forced_win,3.51,1.15,5.4,0.89,0.353,5.873,12.99,11.641,10.625,41.482,8.794,True,7
1.0,2025-12-17,7013,買い,2750.0,3126.0,2639.4,2808.0,forced_win,2.11,0.52,3.93,1.4,0.582,4.618,6.382,7.564,7.691,26.836,5.168,True,8
1.0,2025-12-17,9983,買い,56440.0,59328.0,55108.8,56480.0,forced_win,0.07,0.03,2.3,0.82,0.018,-0.035,4.678,3.331,1.86,9.851,7.953,True,9
1.0,2025-12-17,6762,買い,2163.0,2452.0,2080.2,2200.5,forced_win,1.73,0.45,5.13,0.55,4.854,6.103,8.969,12.552,7.42,39.898,6.135,True,10
1.0,2025-12-18,8058,買い,3628.0,3792.7,3549.0,3549.0,loss,-2.18,-1.0,0.83,3.2,-1.185,-0.441,-3.914,-8.104,-8.682,-22.326,2.8,True,1
1.0,2025-12-18,5801,買い,9250.0,10286.4,8749.3,10140.0,forced_win,9.62,1.78,10.59,1.92,-1.416,14.13,18.627,25.686,27.849,84.876,2.298,True,2
1.0,2025-12-18,6981,買い,3180.0,3399.6,3085.9,3168.0,forced_loss,-0.38,-0.13,2.7,1.07,0.755,3.962,1.604,-0.912,-0.283,5.126,9.152,True,3
1.0,2025-12-18,5803,買い,2689.2,3275.2,2517.5,2936.7,forced_win,9.2,1.44,12.98,0.37,7.313,27.208,29.997,35.172,29.036,128.726,8.563,True,4
1.0,2025-12-18,8306,買い,2425.0,2580.6,2367.8,2484.5,forced_win,2.45,1.04,4.21,0.31,2.557,9.031,10.66,8.351,7.01,37.608,4.23,True,5
1.0,2025-12-18,4506,買い,2281.0,2498.8,2139.3,2353.0,forced_win,3.16,0.51,3.81,2.17,-0.219,1.359,4.45,5.831,8.856,20.276,23.487,True,6
1.0,2025-12-18,8411,買い,5617.0,5891.5,5484.3,5698.0,forced_win,1.44,0.61,3.15,0.16,1.727,6.053,7.744,5.928,4.7,26.153,7.531,True,7
1.0,2025-12-18,6701,買い,5414.0,5748.1,5250.3,5422.0,forced_win,0.15,0.05,1.22,1.22,0.462,-0.591,-0.259,0.332,-0.443,-0.499,11.637,True,8
1.0,2025-12-18,7013,買い,2769.0,3126.0,2660.6,2790.0,forced_win,0.76,0.19,3.21,0.54,2.528,4.28,5.453,5.58,2.347,20.188,4.711,True,9
1.0,2025-12-18,4519,買い,8295.0,8574.8,8069.1,8329.0,forced_win,0.41,0.15,2.13,1.27,0.121,-0.313,1.676,1.435,0.325,3.243,12.857,True,10
1.0,2025-12-19,8766,売り,5997.0,5770.6,6124.4,5770.6,win,3.77,1.78,3.79,0.02,6.053,5.253,8.388,9.738,9.988,39.42,-5.729,True,1
1.0,2025-12-19,6861,売り,56440.0,54770.8,57675.6,57675.6,loss,-2.19,-1.0,0.66,2.73,-0.85,-6.467,-6.361,-4.624,-3.845,-22.147,-3.611,True,2
1.0,2025-12-19,7267,売り,1573.0,1500.4,1606.7,1540.5,forced_win,2.07,0.97,2.16,1.37,-1.907,1.017,2.765,2.606,5.149,9.631,-2.239,True,3
1.0,2025-12-22,8766,売り,5869.0,5888.8,5996.0,5888.8,win,-0.34,-0.16,0.24,0.85,-1.176,2.028,3.408,3.663,2.334,10.257,-5.61,True,1
1.0,2025-12-22,6861,売り,57300.0,54770.8,58553.1,57160.0,forced_win,0.24,0.11,1.31,1.55,-1.867,-1.763,-0.052,0.716,1.71,-1.257,-3.605,True,2
1.0,2025-12-22,7267,売り,1579.0,1528.2,1612.1,1541.0,forced_win,2.41,1.15,3.01,0.32,2.153,3.895,3.737,6.27,7.631,23.686,-2.189,True,3
1.0,2025-12-22,6146,売り,47330.0,42902.1,49294.0,47750.0,forced_loss,-0.89,-0.21,1.77,3.89,2.747,0.761,-3.064,-7.564,-5.176,-12.297,-3.34,True,4
1.0,2025-12-22,4568,売り,3300.0,3129.5,3403.4,3403.4,loss,-3.13,-1.0,0.45,4.3,-1.606,-4.909,-9.485,-12.364,-7.818,-36.182,-2.43,True,5
1.0,2025-12-22,9501,売り,667.5,408.0,705.5,650.0,forced_win,2.62,0.46,4.0,1.53,0.839,5.184,3.88,8.734,8.869,27.506,-2.705,True,6
1.0,2025-12-22,7203,売り,3479.0,2825.0,3548.9,3364.0,forced_win,3.31,1.64,3.65,0.0,3.823,8.939,9.256,8.364,9.629,40.011,3.388,False,7
1.0,2025-12-22,8053,売り,5430.0,3685.0,5539.6,5493.0,forced_loss,-1.16,-0.57,0.53,1.68,-1.492,-0.11,-1.934,-0.166,-3.02,-6.722,7.85,False,8
1.0,2025-12-23,8766,売り,5855.0,5534.3,5986.3,5817.0,forced_win,0.65,0.29,1.45,0.65,1.315,2.699,2.955,1.623,1.093,9.684,-5.56,True,1
1.0,2025-12-23,7267,売り,1568.0,1528.2,1601.4,1528.2,win,2.54,1.19,2.87,0.03,1.818,1.658,4.209,5.58,6.888,20.153,-2.052,True,2
1.0,2025-12-23,9501,売り,660.5,408.0,697.2,657.3,forced_win,0.48,0.09,2.98,2.3,2.059,0.742,5.647,5.783,0.076,14.307,-3.743,True,3
1.0,2025-12-23,6861,売り,57280.0,55569.6,58547.9,56680.0,forced_win,1.05,0.47,1.27,1.59,-1.868,-0.157,0.611,1.606,2.706,2.898,-3.518,True,4
1.0,2025-12-23,4568,売り,3337.0,3129.5,3438.4,3438.4,loss,-3.04,-1.0,0.06,3.15,-1.528,-6.053,-8.9,-4.405,-1.319,-22.206,-2.571,True,5
1.0,2025-12-23,7203,売り,3418.0,2840.1,3488.0,3356.0,forced_win,1.81,0.89,1.93,0.06,3.745,4.067,3.16,4.447,4.623,20.041,3.479,False,6
1.0,2025-12-23,8053,売り,5454.0,3693.3,5559.6,5412.0,forced_win,0.77,0.4,0.97,1.23,1.21,-0.605,1.155,-1.687,1.063,1.137,7.9,False,7
1.0,2025-12-23,8031,売り,4598.0,2933.3,4687.4,4687.4,loss,-1.94,-1.0,1.46,2.26,2.458,2.479,1.936,-3.436,-3.893,-0.457,8.444,False,8
1.0,2025-12-24,6146,売り,47400.0,42902.1,49329.4,49329.4,loss,-4.07,-1.0,0.21,8.06,-2.616,-7.11,-4.726,-3.987,-19.937,-38.376,-3.929,True,1
1.0,2025-12-24,6594,売り,2050.0,1955.2,2124.0,2124.0,loss,-3.61,-1.0,0.24,4.63,-0.78,-3.317,-5.415,-10.098,-9.463,-29.073,-12.839,True,2
1.0,2025-12-24,6861,売り,57590.0,55569.6,58849.4,57180.0,forced_win,0.71,0.33,1.81,1.01,1.459,2.223,3.212,4.306,0.417,11.617,-3.32,True,3
1.0,2025-12-24,8766,売り,5832.0,5770.6,5961.0,5770.6,win,1.05,0.48,1.06,0.14,1.526,1.783,0.446,-0.086,-3.584,0.086,-5.508,True,4
1.0,2025-12-24,9501,売り,658.0,408.0,694.1,694.1,loss,-5.48,-1.0,2.61,9.12,-0.395,4.529,4.666,-1.064,-19.453,-11.717,-4.83,True,5
1.0,2025-12-24,9984,売り,4375.0,1844.8,4677.9,4677.9,loss,-6.92,-1.0,1.14,7.63,-0.2,-4.8,-5.394,-2.446,-16.229,-29.069,-11.627,True,6
1.0,2025-12-24,4568,売り,3390.0,3251.4,3487.8,3487.8,loss,-2.88,-1.0,1.74,4.37,-1.268,-4.071,0.354,3.392,-8.791,-10.383,-2.669,True,7
1.0,2025-12-24,4502,売り,4860.0,4466.8,4933.7,4933.7,loss,-1.52,-1.0,0.8,1.95,0.638,0.165,-2.654,-0.103,-3.436,-5.391,2.314,False,8
